id,pred
20000,0.47342184
20001,0.6734125
20002,0.20131594
20003,0.41347504
20004,0.02339272
20005,0.30781767
20006,0.554085
20007,0.79156077
20008,0.74371195
20009,0.39101437
20010,0.2556886
20011,0.020619934
20012,0.6884623
20013,0.6526639
20014,0.6802273
20015,0.62234694
20016,0.2139356
20017,0.3281143
20018,0.22167937
20019,0.613256
20020,0.42688796
20021,0.8766311
20022,0.691157
20023,0.40066785
20024,0.94178766
20025,0.0072947866
20026,0.5302433
20027,0.8908276
20028,0.016767707
20029,0.505794
20030,0.22912467
20031,0.73287296
20032,0.7249179
20033,0.28735214
20034,0.19379883
20035,0.8754863
20036,0.32953978
20037,0.25554356
20038,0.89847875
20039,0.9936627
20040,0.37705806
20041,0.9938273
20042,0.04460656
20043,0.38534963
20044,0.20631306
20045,0.35353923
20046,0.80621636
20047,0.48974517
20048,0.40146
20049,0.8780021
20050,0.9078886
20051,0.78154224
20052,0.11068487
20053,0.7200653
20054,0.3472724
20055,0.27362108
20056,0.019590653
20057,0.6047548
20058,0.76127845
20059,0.37177813
20060,0.5496617
20061,0.4436937
20062,0.045445777
20063,0.79065645
20064,0.5756538
20065,0.82800984
20066,0.38627717
20067,0.01951351
20068,0.5168541
20069,0.47592324
20070,0.25628036
20071,0.30711198
20072,0.42851064
20073,0.62279814
20074,0.197482
20075,0.63095754
20076,0.00912165
20077,0.91715485
20078,0.49550125
20079,0.98792166
20080,0.2576532
20081,0.01078444
20082,0.52205634
20083,0.5652128
20084,0.5966402
20085,0.25773647
20086,0.9686193
20087,0.36784926
20088,0.25799263
20089,0.6049041
20090,0.8750788
20091,0.4487849
20092,0.5271124
20093,0.34114593
20094,0.4755038
20095,0.43232426
20096,0.6414119
20097,0.02021147
20098,0.01389451
20099,0.6035912
20100,0.5077663
20101,0.08940806
20102,0.49307197
20103,0.5680348
20104,0.67685497
20105,0.013858395
20106,0.42575234
20107,0.45076662
20108,0.16135871
20109,0.3056945
20110,0.89570814
20111,0.92190886
20112,0.98827773
20113,0.4142835
20114,0.378083
20115,0.18962389
20116,0.16400881
20117,0.86230356
20118,0.4170696
20119,0.32666308
20120,0.5498304
20121,0.30617332
20122,0.02891984
20123,0.1647636
20124,0.4069536
20125,0.09580339
20126,0.859983
20127,0.8680043
20128,0.92967725
20129,0.39539886
20130,0.40515086
20131,0.42151937
20132,0.96969473
20133,0.3924394
20134,0.24447055
20135,0.93893516
20136,0.024687275
20137,0.313488
20138,0.6683463
20139,0.16264969
20140,0.43241763
20141,0.41623908
20142,0.26424006
20143,0.25542146
20144,0.2907651
20145,0.9956033
20146,0.0075935056
20147,0.9792331
20148,0.7050227
20149,0.05316368
20150,0.7205803
20151,0.26336098
20152,0.55022275
20153,0.4886242
20154,0.085585825
20155,0.8809053
20156,0.38971108
20157,0.4863454
20158,0.84952223
20159,0.7199206
20160,0.0801993
20161,0.34086505
20162,0.38806474
20163,0.2009232
20164,0.6286959
20165,0.102268755
20166,0.31754842
20167,0.6841344
20168,0.027126022
20169,0.40406945
20170,0.31778806
20171,0.90208566
20172,0.29065472
20173,0.4549653
20174,0.52637225
20175,0.67430365
20176,0.35158876
20177,0.45854944
20178,0.46565038
20179,0.47133738
20180,0.38067445
20181,0.8731522
20182,0.6167588
20183,0.12768286
20184,0.47517508
20185,0.39069313
20186,0.9611576
20187,0.24043636
20188,0.9399151
20189,0.3651006
20190,0.2213737
20191,0.48561126
20192,0.50406724
20193,0.5844593
20194,0.23793587
20195,0.32847294
20196,0.562784
20197,0.34915715
20198,0.48885295
20199,0.014591125
20200,0.1616987
20201,0.49206707
20202,0.4902886
20203,0.63653654
20204,0.82327
20205,0.6681847
20206,0.027062899
20207,0.52574956
20208,0.04768638
20209,0.8747847
20210,0.0031325552
20211,0.11972577
20212,0.49027368
20213,0.35231408
20214,0.49927816
20215,0.6951299
20216,0.50756055
20217,0.71746993
20218,0.5155205
20219,0.74853265
20220,0.30765143
20221,0.27968365
20222,0.99482524
20223,0.5156897
20224,0.28819472
20225,0.19097829
20226,0.3595545
20227,0.8154679
20228,0.85484886
20229,0.27524397
20230,0.68436575
20231,0.43516022
20232,0.007861998
20233,0.8953798
20234,0.48112905
20235,0.37753567
20236,0.39878702
20237,0.18385737
20238,0.36607516
20239,0.123657085
20240,0.36626062
20241,0.27175346
20242,0.6102071
20243,0.025547082
20244,0.2546521
20245,0.39713246
20246,0.27488038
20247,0.83961815
20248,0.44710433
20249,0.38827074
20250,0.40089425
20251,0.5020527
20252,0.7337578
20253,0.73032796
20254,0.75158495
20255,0.42455065
20256,0.72158444
20257,0.3368692
20258,0.30134755
20259,0.6266971
20260,0.6356776
20261,0.20843129
20262,0.7086648
20263,0.18167867
20264,0.46370137
20265,0.2376108
20266,0.22271943
20267,0.0091157
20268,0.48106924
20269,0.45817435
20270,0.8366779
20271,0.6058605
20272,0.4378337
20273,0.1296729
20274,0.7604089
20275,0.38310748
20276,0.9660972
20277,0.9034598
20278,0.51615864
20279,0.23381217
20280,0.88468623
20281,0.25852287
20282,0.26262015
20283,0.32799488
